Microsoft (R) COFF/PE Dumper Version 8.00.50727.42
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\windows\system32\ntoskrnl.exe
        573  22D 0002AA7E KePulseEvent
        574  22E 000DB21A KeQueryActiveProcessors
        575  22F 0000DD05 KeQueryInterruptTime
        576  230 0005CD8C KeQueryPriorityThread
        577  231 000225C4 KeQueryRuntimeThread
        578  232 0000CB9C KeQuerySystemTime
        579  233 00014EEA KeQueryTickCount
        580  234 0000D959 KeQueryTimeIncrement
        581  235 0005CFC0 KeRaiseUserException
        582  236 0000D2B3 KeReadStateEvent
        583  237 0000D2B3 KeReadStateMutant
        584  238 0000D2B3 KeReadStateMutex
        585  239 0000D2B3 KeReadStateQueue
        586  23A 0000D2B3 KeReadStateSemaphore
        587  23B 0000DDF9 KeReadStateTimer
        588  23C 00038508 KeRegisterBugCheckCallback
        589  23D 00038326 KeRegisterBugCheckReasonCallback
         45  23E 00003658 KeReleaseInStackQueuedSpinLockFromDpcLevel
        590  23F 0005B2C1 KeReleaseInterruptSpinLock
        591  240 0000D8B3 KeReleaseMutant
        592  241 0000F8C6 KeReleaseMutex
        593  242 000131FC KeReleaseSemaphore
        594  243 000035E8 KeReleaseSpinLockFromDpcLevel
        595  244 0000CD4A KeRemoveByKeyDeviceQueue
        596  245 0005CB7F KeRemoveByKeyDeviceQueueIfBusy
        597  246 0000CD88 KeRemoveDeviceQueue
        598  247 0005CBF4 KeRemoveEntryDeviceQueue
        599  248 0000CF82 KeRemoveQueue
        600  249 00025D11 KeRemoveQueueDpc
        601  24A 00149CD6 KeRemoveSystemServiceTable
        602  24B 0000F8E3 KeResetEvent
        603  24C 00021999 KeRestoreFloatingPointState
        604  24D 00030B1E KeRevertToUserAffinityThread
        605  24E 00025D86 KeRundownQueue
        606  24F 00021A70 KeSaveFloatingPointState
        607  250 0005D096 KeSaveStateForHibernate
        608  251 00082680 KeServiceDescriptorTable
        609  252 0003DDCF KeSetAffinityThread
        610  253 0002231F KeSetBasePriorityThread
        611  254 0005B1A5 KeSetDmaIoCoherency
        612  255 0000C996 KeSetEvent
        613  256 0000DA51 KeSetEventBoostPriority
        614  257 00034459 KeSetIdealProcessorThread
        615  258 0003751A KeSetImportanceDpc
        616  259 00011AE1 KeSetKernelStackSwapEnable
        617  25A 00020D29 KeSetPriorityThread
        618  25B 001CC412 KeSetProfileIrql
        619  25C 00030ACE KeSetSystemAffinityThread
        620  25D 00037D0E KeSetTargetProcessorDpc
        621  25E 0003BB4C KeSetTimeIncrement
         46  25F 00149D43 KeSetTimeUpdateNotifyRoutine
        622  260 000053EA KeSetTimer
        623  261 0000538B KeSetTimerEx
        624  262 000189DB KeStackAttachProcess
        625  263 000036D6 KeSynchronizeExecution
        626  264 00020E59 KeTerminateThread
        627  265 0007A480 KeTickCount
        628  266 00018919 KeUnstackDetachProcess
        629  267 0000C32A KeUpdateRunTime
        630  268 0000C1BF KeUpdateSystemTime
        631  269 0008EE65 KeUserModeCallback
        632  26A 0000CA0D KeWaitForMultipleObjects
        633  26B 000051A0 KeWaitForMutexObject
        634  26C 000051A0 KeWaitForSingleObject
         47  26D 000035D4 KefAcquireSpinLockAtDpcLevel
         48  26E 000035E4 KefReleaseSpinLockFromDpcLevel
         58  26F 0000805C Kei386EoiHelper
         49  270 000035F4 KiAcquireSpinLock
        635  271 00083020 KiBugCheckData
        636  272 0000AEFD KiCoprocessorError
        637  273 0000E2DD KiDeliverApc
        638  274 00004874 KiDispatchInterrupt
        639  275 0007BBF8 KiEnableTimerWatchdog
        640  276 00001EDF KiIpiServiceRoutine
         50  277 00003604 KiReleaseSpinLock
        641  278 00003AEA KiUnexpectedInterrupt
         59  279 0000366A Kii386SpinOnSpinLock
        642  27A 00104A6F LdrAccessResource
        643  27B 00158064 LdrEnumResources
        644  27C 000FD9FE LdrFindResourceDirectory_U
        645  27D 000E18E2 LdrFindResource_U
        646  27E 00083068 LpcPortObjectType
        647  27F 000A4881 LpcRequestPort
        648  280 000C4F29 LpcRequestWaitReplyPort
        649  281 0017209C LsaCallAuthenticationPackage
        650  282 0017213F LsaDeregisterLogonProcess
        651  283 00108FC0 LsaFreeReturnBuffer
        652  284 00171FA2 LsaLogonUser
        653  285 00171EF4 LsaLookupAuthenticationPackage
        654  286 00171D5B LsaRegisterLogonProcess
        655  287 00087AA4 Mm64BitPhysicalAddress
        656  288 0018A0A7 MmAddPhysicalMemory
        657  289 0014B1D4 MmAddVerifierThunks
        658  28A 0018A0D3 MmAdjustWorkingSetSize
        659  28B 0005EBBF MmAdvanceMdl
        660  28C 0003C042 MmAllocateContiguousMemory
        661  28D 00035BD5 MmAllocateContiguousMemorySpecifyCache
        662  28E 000F1EFB MmAllocateMappingAddress
        663  28F 0014C4C0 MmAllocateNonCachedMemory
        664  290 00184D2D MmAllocatePagesForMdl
        665  291 000157CE MmBuildMdlForNonPagedPool
        666  292 0001AE1F MmCanFileBeTruncated
        667  293 0003DDFF MmCommitSessionMappedView
        668  294 00024F67 MmCreateMdl
        669  295 0000D47F MmCreateSection
        670  296 00020619 MmDisableModifiedWriteOfSection
        671  297 0001AD9B MmFlushImageSection
        672  298 000288A0 MmForceSectionClosed
        673  299 0003BFFE MmFreeContiguousMemory
        674  29A 0005F163 MmFreeContiguousMemorySpecifyCache
        675  29B 0014BFB9 MmFreeMappingAddress
        676  29C 0014C5F1 MmFreeNonCachedMemory
        677  29D 0018A56F MmFreePagesFromMdl
        678  29E 000351FD MmGetPhysicalAddress
        679  29F 001891AB MmGetPhysicalMemoryRanges
        680  2A0 000E9F33 MmGetSystemRoutineAddress
        681  2A1 0005F183 MmGetVirtualForPhysical
        682  2A2 0001EB03 MmGrowKernelStack
        683  2A3 0008803C MmHighestUserAddress
        684  2A4 0000C661 MmIsAddressValid
        685  2A5 000383A4 MmIsDriverVerifying
        686  2A6 00060FC7 MmIsNonPagedSystemAddressValid
        687  2A7 0005F22F MmIsRecursiveIoFault
        688  2A8 00033137 MmIsThisAnNtAsSystem
        689  2A9 000E176B MmIsVerifierEnabled
        690  2AA 000B9340 MmLockPagableDataSection
        691  2AB 000B9340 MmLockPagableImageSection
        692  2AC 000B91C2 MmLockPagableSectionByHandle
        693  2AD 00035436 MmMapIoSpace
        694  2AE 00027168 MmMapLockedPages
        695  2AF 00015ADB MmMapLockedPagesSpecifyCache
        696  2B0 0005E79B MmMapLockedPagesWithReservedMapping
        697  2B1 0005F257 MmMapMemoryDumpMdl
        698  2B2 0018A6A8 MmMapUserAddressesToPage
        699  2B3 0014C39E MmMapVideoDisplay
        700  2B4 00105A50 MmMapViewInSessionSpace
        701  2B5 0014CF3B MmMapViewInSystemSpace
        702  2B6 0009B269 MmMapViewOfSection
        703  2B7 0014B08B MmMarkPhysicalMemoryAsBad
        704  2B8 00189025 MmMarkPhysicalMemoryAsGood
        705  2B9 000D24A4 MmPageEntireDriver
        706  2BA 000B15F3 MmPrefetchPages
        707  2BB 0001A7B7 MmProbeAndLockPages
        708  2BC 0014C64C MmProbeAndLockProcessPages
        709  2BD 00038FB8 MmProbeAndLockSelectedPages
        710  2BE 0005EDFE MmProtectMdlSystemAddress
        711  2BF 00033142 MmQuerySystemSize
        712  2C0 0014B0AF MmRemovePhysicalMemory
        713  2C1 000D25A7 MmResetDriverPaging
        714  2C2 00087DA0 MmSectionObjectType
        715  2C3 0009203D MmSecureVirtualMemory
        716  2C4 00016B26 MmSetAddressRangeModified
        717  2C5 0014C19D MmSetBankedSection
        718  2C6 00020CE6 MmSizeOfMdl
        719  2C7 00088038 MmSystemRangeStart
        720  2C8 00061BF6 MmTrimAllSystemPagableMemory
        721  2C9 0002F991 MmUnlockPagableImageSection
        722  2CA 0001AA62 MmUnlockPages
        723  2CB 000355D4 MmUnmapIoSpace
        724  2CC 00015A61 MmUnmapLockedPages
        725  2CD 0005EA62 MmUnmapReservedMapping
        726  2CE 0014C3C3 MmUnmapVideoDisplay
        727  2CF 00105BAD MmUnmapViewInSessionSpace
        728  2D0 0014CF68 MmUnmapViewInSystemSpace
        729  2D1 0009DBA3 MmUnmapViewOfSection
        730  2D2 00092025 MmUnsecureVirtualMemory
        731  2D3 00088034 MmUserProbeAddress
        732  2D4 001B5DF0 NlsAnsiCodePage
        733  2D5 0008BE90 NlsLeadByteInfo
        734  2D6 001B5E08 NlsMbCodePageTag
        735  2D7 001B6020 NlsMbOemCodePageTag
        736  2D8 001B5DF4 NlsOemCodePage
        737  2D9 0008BE94 NlsOemLeadByteInfo
        738  2DA 0009D60B NtAddAtom
        739  2DB 000B7B85 NtAdjustPrivilegesToken
        740  2DC 000B4C26 NtAllocateLocallyUniqueId
        741  2DD 00104F20 NtAllocateUuids
        742  2DE 00090F9D NtAllocateVirtualMemory
        743  2DF 00075068 NtBuildNumber
        744  2E0 0008FD49 NtClose
        745  2E1 000B3800 NtConnectPort
        746  2E2 00093CB0 NtCreateEvent
        747  2E3 00098BF8 NtCreateFile
        748  2E4 0008D61B NtCreateSection
        749  2E5 000B2DDE NtDeleteAtom
        750  2E6 00100397 NtDeleteFile
        751  2E7 000A6257 NtDeviceIoControlFile
        752  2E8 0009BB26 NtDuplicateObject
        753  2E9 000A760E NtDuplicateToken
        754  2EA 000B8948 NtFindAtom
        755  2EB 000918C7 NtFreeVirtualMemory
        756  2EC 000A3D19 NtFsControlFile
        757  2ED 0008096C NtGlobalFlag
        758  2EE 000B5466 NtLockFile
        759  2EF 000C9F3A NtMakePermanentObject
        760  2F0 0009B36C NtMapViewOfSection
        761  2F1 000BA0CD NtNotifyChangeDirectoryFile
        762  2F2 00098B93 NtOpenFile
        763  2F3 0009BD06 NtOpenProcess
        764  2F4 00095041 NtOpenProcessToken
        765  2F5 0009523A NtOpenProcessTokenEx
        766  2F6 000B5806 NtOpenThread
        767  2F7 00094ADE NtOpenThreadToken
        768  2F8 00094A4C NtOpenThreadTokenEx
        769  2F9 0009C515 NtQueryDirectoryFile
        770  2FA 0013E530 NtQueryEaFile
        771  2FB 000FFDC0 NtQueryInformationAtom
        772  2FC 0009A47E NtQueryInformationFile
        773  2FD 00094C7C NtQueryInformationProcess
        774  2FE 0008F477 NtQueryInformationThread
        775  2FF 000957AB NtQueryInformationToken
        776  300 0013EDFB NtQueryQuotaInformationFile
        777  301 000C4013 NtQuerySecurityObject
        778  302 000A6786 NtQuerySystemInformation
        779  303 00098E3B NtQueryVolumeInformationFile
        780  304 000990D8 NtReadFile
        781  305 000B2A2C NtRequestPort
        782  306 0009EF2A NtRequestWaitReplyPort
        783  307 0013EA7F NtSetEaFile
        784  308 00091698 NtSetEvent
        785  309 0009FE9C NtSetInformationFile
        786  30A 00094D4D NtSetInformationProcess
        787  30B 0009D7A6 NtSetInformationThread
        788  30C 0013EDD3 NtSetQuotaInformationFile
        789  30D 000C4831 NtSetSecurityObject
        790  30E 0013F315 NtSetVolumeInformationFile
        791  30F 0016E843 NtShutdownSystem
        792  310 0006DFE0 NtTraceEvent
        793  311 000B55C6 NtUnlockFile
        794  312 000E00B0 NtVdmControl
        795  313 0008E50A NtWaitForSingleObject
        796  314 000A0145 NtWriteFile
        797  315 0009E6F4 ObAssignSecurity
        798  316 000B4C8B ObCheckCreateObjectAccess
        799  317 0008DFDD ObCheckObjectAccess
        800  318 0009309F ObCloseHandle
        801  319 0008D8CE ObCreateObject
        802  31A 000F82C6 ObCreateObjectType
        803  31B 0006558B ObDereferenceObject
        804  31C 0008E19A ObDereferenceSecurityDescriptor
        805  31D 00104276 ObFindHandleForObject
        806  31E 0008DF96 ObGetObjectSecurity
        807  31F 0008D3A3 ObInsertObject
        808  320 0009E598 ObLogSecurityDescriptor
        809  321 000CA0B2 ObMakeTemporaryObject
        810  322 000903BF ObOpenObjectByName
        811  323 00094BC2 ObOpenObjectByPointer
        812  324 000AA7F6 ObQueryNameString
        813  325 000BB100 ObQueryObjectAuditingByHandle
        814  326 0008CF68 ObReferenceObjectByHandle
        815  327 000A7FF5 ObReferenceObjectByName
        816  328 000132E9 ObReferenceObjectByPointer
        817  329 000C56DB ObReferenceSecurityDescriptor
        818  32A 0008E0A8 ObReleaseObjectSecurity
        819  32B 000A4D29 ObSetHandleAttributes
        820  32C 001043EA ObSetSecurityDescriptorInfo
        821  32D 000C48E1 ObSetSecurityObjectByPointer
         51  32E 00002050 ObfDereferenceObject
         52  32F 00002023 ObfReferenceObject
        822  330 0015932F PfxFindPrefix
        823  331 00158F28 PfxInitialize
        824  332 00159245 PfxInsertPrefix
        825  333 00158F4B PfxRemovePrefix
        826  334 000309FD PoCallDriver
        827  335 00065650 PoCancelDeviceNotify
        828  336 000F20F1 PoQueueShutdownWorkItem
        829  337 00031585 PoRegisterDeviceForIdleDetection
        830  338 00065B4B PoRegisterDeviceNotify
        831  339 0002F276 PoRegisterSystemState
        832  33A 00030B6A PoRequestPowerIrp
        833  33B 000DB125 PoRequestShutdownEvent
        834  33C 0018D6DE PoSetHiberRange
        835  33D 00034727 PoSetPowerState
        836  33E 0003D47E PoSetSystemState
        837  33F 001527F7 PoShutdownBugCheck
        838  340 0003100E PoStartNextPowerIrp
        839  341 00065C43 PoUnregisterSystemState
        840  342 000B3A14 ProbeForRead
        841  343 0008E740 ProbeForWrite
        842  344 0009D8B6 PsAssignImpersonationToken
        843  345 0002C5AB PsChargePoolQuota
        844  346 00013C27 PsChargeProcessNonPagedPoolQuota
        845  347 0001E500 PsChargeProcessPagedPoolQuota
        846  348 0000FD0D PsChargeProcessPoolQuota
        847  349 00155207 PsCreateSystemProcess
        848  34A 000A6081 PsCreateSystemThread
        849  34B 00154D6D PsDereferenceImpersonationToken
        850  34C 000AB824 PsDereferencePrimaryToken
        851  34D 000B7126 PsDisableImpersonation
        852  34E 000E2AB1 PsEstablishWin32Callouts
        853  34F 00108858 PsGetContextThread
        854  350 0000D64F PsGetCurrentProcess
        855  351 0000DCB5 PsGetCurrentProcessId
        856  352 000103D0 PsGetCurrentProcessSessionId
        857  353 0000DA15 PsGetCurrentThread
        858  354 0000FE6B PsGetCurrentThreadId
        859  355 00025BE8 PsGetCurrentThreadPreviousMode
        860  356 00066FBF PsGetCurrentThreadStackBase
        861  357 00066FD6 PsGetCurrentThreadStackLimit
        862  358 00066EC3 PsGetJobLock
        863  359 00066EDC PsGetJobSessionId
        864  35A 00033D4B PsGetJobUIRestrictionsClass
        865  35B 0002BFDC PsGetProcessCreateTimeQuadPart
        866  35C 0002229D PsGetProcessDebugPort
        867  35D 00155497 PsGetProcessExitProcessCalled
        868  35E 00066F0B PsGetProcessExitStatus
        869  35F 000C56FB PsGetProcessExitTime
        870  360 00023227 PsGetProcessId
        871  361 0002C1E4 PsGetProcessImageFileName
        872  362 00027F3F PsGetProcessInheritedFromUniqueProcessId
        873  363 00018A68 PsGetProcessJob
        874  364 000103F1 PsGetProcessPeb
        875  365 00066F57 PsGetProcessPriorityClass
        876  366 00021972 PsGetProcessSectionBaseAddress
        877  367 000C4F47 PsGetProcessSecurityPort
        878  368 0002498B PsGetProcessSessionId
        879  369 0000DD29 PsGetProcessWin32Process
        880  36A 00018A51 PsGetProcessWin32WindowStation
        881  36B 0003E5A5 PsGetThreadFreezeCount
        882  36C 0003482B PsGetThreadHardErrorsAreDisabled
        883  36D 0000E9FB PsGetThreadId
        884  36E 00010427 PsGetThreadProcess
        885  36F 0000E9E4 PsGetThreadProcessId
        886  370 0009F384 PsGetThreadSessionId
        887  371 000125F1 PsGetThreadTeb
        888  372 0000DD29 PsGetThreadWin32Thread
        889  373 00066E52 PsGetVersion
        890  374 0009D9FF PsImpersonateClient
        891  375 000897D4 PsInitialSystemProcess
        892  376 00155475 PsIsProcessBeingDebugged
        893  377 0002B5B6 PsIsSystemThread
        894  378 0015550C PsIsThreadImpersonating
        895  379 0000FEB1 PsIsThreadTerminating
        896  37A 00089760 PsJobType
        897  37B 0009BE8D PsLookupProcessByProcessId
        898  37C 0009EDEB PsLookupProcessThreadByCid
        899  37D 0009F3A0 PsLookupThreadByThreadId
        900  37E 000897D8 PsProcessType
        901  37F 0008BE65 PsReferenceImpersonationToken
        902  380 0008C43B PsReferencePrimaryToken
        903  381 00154FE7 PsRemoveCreateThreadNotifyRoutine
        904  382 0015510E PsRemoveLoadImageNotifyRoutine
        905  383 000B7258 PsRestoreImpersonation
        906  384 0000FC61 PsReturnPoolQuota
        907  385 00013F34 PsReturnProcessNonPagedPoolQuota
        908  386 0001E272 PsReturnProcessPagedPoolQuota
        909  387 0009D952 PsRevertThreadToSelf
        910  388 00154DC1 PsRevertToSelf
        911  389 0015524F PsSetContextThread
        912  38A 00154EA4 PsSetCreateProcessNotifyRoutine
        913  38B 00154F7B PsSetCreateThreadNotifyRoutine
        914  38C 001554BD PsSetJobUIRestrictionsClass
        915  38D 000E2B50 PsSetLegoNotifyRoutine
        916  38E 0015509D PsSetLoadImageNotifyRoutine
        917  38F 0009205B PsSetProcessPriorityByClass
        918  390 001554DC PsSetProcessPriorityClass
        919  391 000C541F PsSetProcessSecurityPort
        920  392 000AAD60 PsSetProcessWin32Process
        921  393 000AB966 PsSetProcessWindowStation
        922  394 00034849 PsSetThreadHardErrorsAreDisabled
        923  395 000A4E72 PsSetThreadWin32Thread
        924  396 000A622D PsTerminateSystemThread
        925  397 000897DC PsThreadType
        926  398 000020B2 READ_REGISTER_BUFFER_UCHAR
        927  399 000020EA READ_REGISTER_BUFFER_ULONG
        928  39A 000020CE READ_REGISTER_BUFFER_USHORT
        929  39B 0000208E READ_REGISTER_UCHAR
        930  39C 000020A6 READ_REGISTER_ULONG
        931  39D 0000209A READ_REGISTER_USHORT
        932  39E 000EA114 RtlAbsoluteToSelfRelativeSD
        933  39F 000B7103 RtlAddAccessAllowedAce
        934  3A0 000FF068 RtlAddAccessAllowedAceEx
        935  3A1 000D2A00 RtlAddAce
        936  3A2 0008F70D RtlAddAtomToAtomTable
        937  3A3 000EC58D RtlAddRange
        938  3A4 0009D10F RtlAllocateHeap
        939  3A5 000A10AB RtlAnsiCharToUnicodeChar
        940  3A6 0015AE7F RtlAnsiStringToUnicodeSize
        941  3A7 000A66A1 RtlAnsiStringToUnicodeString
        942  3A8 0015B5D7 RtlAppendAsciizToString
        943  3A9 000D22A4 RtlAppendStringToString
        944  3AA 0001B8D0 RtlAppendUnicodeStringToString
        945  3AB 00021381 RtlAppendUnicodeToString
        946  3AC 0008EDB5 RtlAreAllAccessesGranted
        947  3AD 000B3C72 RtlAreAnyAccessesGranted
        948  3AE 0001CB18 RtlAreBitsClear
        949  3AF 0001CBA2 RtlAreBitsSet
        950  3B0 0006795C RtlAssert
        951  3B1 0000450C RtlCaptureContext
        952  3B2 00067989 RtlCaptureStackBackTrace
        953  3B3 0015BE3B RtlCharToInteger
        954  3B4 000DCDC1 RtlCheckRegistryKey
        955  3B5 0002C8B9 RtlClearAllBits
        956  3B6 00067295 RtlClearBit
        957  3B7 0001253D RtlClearBits
        958  3B8 00003B8A RtlCompareMemory
        959  3B9 00003BDA RtlCompareMemoryUlong
        960  3BA 0015B523 RtlCompareString
        961  3BB 0009505F RtlCompareUnicodeString
        962  3BC 00190957 RtlCompressBuffer
        963  3BD 0015C9F3 RtlCompressChunks
        964  3BE 000042B6 RtlConvertLongToLargeInteger
        965  3BF 000AA095 RtlConvertSidToUnicodeString
        966  3C0 000042BE RtlConvertUlongToLargeInteger
        967  3C1 000D09AE RtlCopyLuid
        968  3C2 000EC4D9 RtlCopyRangeList
        969  3C3 000902BB RtlCopySid
        970  3C4 00037FA7 RtlCopyString
        971  3C5 00017F58 RtlCopyUnicodeString
        972  3C6 0009E48B RtlCreateAcl
        973  3C7 000D2856 RtlCreateAtomTable
        974  3C8 000C7058 RtlCreateHeap
        975  3C9 000DF128 RtlCreateRegistryKey
        976  3CA 0009022F RtlCreateSecurityDescriptor
        977  3CB 0015CEF0 RtlCreateSystemVolumeInformationFolder
        978  3CC 000FBDC9 RtlCreateUnicodeString
        979  3CD 001582F2 RtlCustomCPToUnicodeN
        980  3CE 0015C661 RtlDecompressBuffer
        981  3CF 0015C82A RtlDecompressChunks
        982  3D0 0015C6D3 RtlDecompressFragment
        983  3D1 00012AB1 RtlDelete
        984  3D2 000F1C91 RtlDeleteAce
        985  3D3 0009F56D RtlDeleteAtomFromAtomTable
        986  3D4 00067E42 RtlDeleteElementGenericTable
        987  3D5 0001D711 RtlDeleteElementGenericTableAvl
        988  3D6 0002DE03 RtlDeleteNoSplay
        989  3D7 000ED005 RtlDeleteOwnersRanges
        990  3D8 0015999E RtlDeleteRange
        991  3D9 000F03D6 RtlDeleteRegistryValue
        992  3DA 0015C74B RtlDescribeChunk
        993  3DB 001595E3 RtlDestroyAtomTable
        994  3DC 00159D5B RtlDestroyHeap
        995  3DD 0015AD23 RtlDowncaseUnicodeString
        996  3DE 001596A5 RtlEmptyAtomTable
        997  3DF 00004095 RtlEnlargedIntegerMultiply
        998  3E0 000040AD RtlEnlargedUnsignedDivide
        999  3E1 000040A1 RtlEnlargedUnsignedMultiply
       1000  3E2 00067EE7 RtlEnumerateGenericTable
       1001  3E3 000280DA RtlEnumerateGenericTableAvl
       1002  3E4 000680DF RtlEnumerateGenericTableLikeADirectory
       1003  3E5 00067D68 RtlEnumerateGenericTableWithoutSplaying
       1004  3E6 000280BD RtlEnumerateGenericTableWithoutSplayingAvl
       1005  3E7 0015B689 RtlEqualLuid
       1006  3E8 000932B3 RtlEqualSid
       1007  3E9 0002F3A6 RtlEqualString
       1008  3EA 0008BE9D RtlEqualUnicodeString
       1009  3EB 000041BA RtlExtendedIntegerMultiply
       1010  3EC 000040CD RtlExtendedLargeIntegerDivide
       1011  3ED 0000412A RtlExtendedMagicDivide
       1012  3EE 00003C0A RtlFillMemory
       1013  3EF 00003C7A RtlFillMemoryUlong
       1014  3F0 000136F5 RtlFindClearBits
       1015  3F1 00019839 RtlFindClearBitsAndSet
       1016  3F2 0002F4A5 RtlFindClearRuns
       1017  3F3 0006772D RtlFindFirstRunClear
       1018  3F4 0002F0A1 RtlFindLastBackwardRunClear
       1019  3F5 0003C30C RtlFindLeastSignificantBit
       1020  3F6 000675D5 RtlFindLongestRunClear
       1021  3F7 00104BC1 RtlFindMessage
       1022  3F8 00067634 RtlFindMostSignificantBit
       1023  3F9 0003FFFC RtlFindNextForwardRunClear
       1024  3FA 000ECBFD RtlFindRange
       1025  3FB 0006730B RtlFindSetBits
       1026  3FC 000676F3 RtlFindSetBitsAndClear
       1027  3FD 000A5F54 RtlFindUnicodePrefix
       1028  3FE 000AA289 RtlFormatCurrentUserKeyPath
       1029  3FF 00099B7A RtlFreeAnsiString
       1030  400 0009CE9F RtlFreeHeap
       1031  401 000C5ACF RtlFreeOemString
       1032  402 000EC3F7 RtlFreeRangeList
       1033  403 00099B7A RtlFreeUnicodeString
       1034  404 000DBC55 RtlGUIDFromString
       1035  405 000BB272 RtlGenerate8dot3Name
       1036  406 000CE753 RtlGetAce
       1037  407 000021A0 RtlGetCallersAddress
       1038  408 001908E5 RtlGetCompressionWorkSpaceSize
       1039  409 000FE68A RtlGetDaclSecurityDescriptor
       1040  40A 000B3343 RtlGetDefaultCodePage
       1041  40B 00067CBA RtlGetElementGenericTable
       1042  40C 00067FCF RtlGetElementGenericTableAvl
       1043  40D 000BE845 RtlGetFirstRange
       1044  40E 000EB74E RtlGetGroupSecurityDescriptor
       1045  40F 000BE7DB RtlGetNextRange
       1046  410 000C545C RtlGetNtGlobalFlags
       1047  411 000EB70C RtlGetOwnerSecurityDescriptor
       1048  412 000EB6D7 RtlGetSaclSecurityDescriptor
       1049  413 0015D53D RtlGetSetBootStatusData
       1050  414 000D2FD4 RtlGetVersion
       1051  415 000BB1E6 RtlHashUnicodeString
       1052  416 000249F5 RtlImageDirectoryEntryToData
       1053  417 000217D5 RtlImageNtHeader
       1054  418 0000226F RtlInitAnsiString
       1055  419 000F96BC RtlInitCodePageTable
       1056  41A 00002237 RtlInitString
       1057  41B 000022A7 RtlInitUnicodeString
       1058  41C 00093F58 RtlInitializeBitMap
       1059  41D 0003327D RtlInitializeGenericTable
       1060  41E 00027F09 RtlInitializeGenericTableAvl
       1061  41F 000FC17B RtlInitializeRangeList
       1062  420 000BA974 RtlInitializeSid
       1063  421 000E5C20 RtlInitializeUnicodePrefix
       1064  422 00067E0B RtlInsertElementGenericTable
       1065  423 0002FCA9 RtlInsertElementGenericTableAvl
       1066  424 00067BE5 RtlInsertElementGenericTableFull
       1067  425 0001D417 RtlInsertElementGenericTableFullAvl
       1068  426 000AED23 RtlInsertUnicodePrefix
       1069  427 0015C345 RtlInt64ToUnicodeString
       1070  428 000A65B7 RtlIntegerToChar
       1071  429 000A9F5B RtlIntegerToUnicode
       1072  42A 000A6723 RtlIntegerToUnicodeString
       1073  42B 00159ADC RtlInvertRangeList
       1074  42C 0006865D RtlIpv4AddressToStringA
       1075  42D 000686AB RtlIpv4AddressToStringExA
       1076  42E 00068B10 RtlIpv4AddressToStringExW
       1077  42F 00068AB2 RtlIpv4AddressToStringW
       1078  430 00069123 RtlIpv4StringToAddressA
       1079  431 00069337 RtlIpv4StringToAddressExA
       1080  432 00069A4B RtlIpv4StringToAddressExW
       1081  433 00034E87 RtlIpv4StringToAddressW
       1082  434 00068349 RtlIpv6AddressToStringA
       1083  435 00068578 RtlIpv6AddressToStringExA
       1084  436 000689BD RtlIpv6AddressToStringExW
       1085  437 00068752 RtlIpv6AddressToStringW
       1086  438 00068BB8 RtlIpv6StringToAddressA
       1087  439 00068EDE RtlIpv6StringToAddressExA
       1088  43A 000697DA RtlIpv6StringToAddressExW
       1089  43B 000694D7 RtlIpv6StringToAddressW
       1090  43C 00067C9D RtlIsGenericTableEmpty
       1091  43D 00032DD9 RtlIsGenericTableEmptyAvl
       1092  43E 0015D24A RtlIsNameLegalDOS8Dot3
       1093  43F 000F3DF6 RtlIsRangeAvailable
       1094  440 0015D106 RtlIsValidOemCharacter
       1095  441 00004081 RtlLargeIntegerAdd
       1096  442 00004262 RtlLargeIntegerArithmeticShift
       1097  443 00069BCF RtlLargeIntegerDivide
       1098  444 0000428E RtlLargeIntegerNegate
       1099  445 00004212 RtlLargeIntegerShiftLeft
       1100  446 0000423A RtlLargeIntegerShiftRight
       1101  447 000042A2 RtlLargeIntegerSubtract
       1102  448 000A1570 RtlLengthRequiredSid
       1103  449 0009E3F7 RtlLengthSecurityDescriptor
       1104  44A 000C4B2C RtlLengthSid
       1105  44B 0015D3D4 RtlLockBootStatusData
       1106  44C 0009F2D7 RtlLookupAtomInAtomTable
       1107  44D 00067F3F RtlLookupElementGenericTable
       1108  44E 0002FC34 RtlLookupElementGenericTableAvl
       1109  44F 00067E9F RtlLookupElementGenericTableFull
       1110  450 0001D27C RtlLookupElementGenericTableFullAvl
       1111  451 0009025D RtlMapGenericMask
       1112  452 00025A19 RtlMapSecurityErrorToNtStatus
       1113  453 001598AE RtlMergeRangeLists
       1114  454 00003CCC RtlMoveMemory
       1115  455 00092109 RtlMultiByteToUnicodeN
       1116  456 00106AE2 RtlMultiByteToUnicodeSize
       1117  457 001591AE RtlNextUnicodePrefix
       1118  458 000B3B2E RtlNtStatusToDosError
       1119  459 0002ED6D RtlNtStatusToDosErrorNoTeb
       1120  45A 00067D4F RtlNumberGenericTableElements
       1121  45B 00032DF2 RtlNumberGenericTableElementsAvl
       1122  45C 0002F166 RtlNumberOfClearBits
       1123  45D 0002C67F RtlNumberOfSetBits
       1124  45E 0015B2BB RtlOemStringToCountedUnicodeString
       1125  45F 0015AE7F RtlOemStringToUnicodeSize
       1126  460 000B27B4 RtlOemStringToUnicodeString
       1127  461 000B2842 RtlOemToUnicodeN
       1128  462 000D27A9 RtlPinAtomInAtomTable
         53  463 0000403D RtlPrefetchMemoryNonTemporal
