Microsoft (R) COFF/PE Dumper Version 8.00.50727.42
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file c:\windows\system32\ntkrnlpa.exe
        576  230 000245E6 KeQueryPriorityThread
        577  231 000245FC KeQueryRuntimeThread
        578  232 0001FC02 KeQuerySystemTime
        579  233 0001FC4A KeQueryTickCount
        580  234 0001FC92 KeQueryTimeIncrement
        581  235 00024F16 KeRaiseUserException
        582  236 00021D32 KeReadStateEvent
        583  237 00021D32 KeReadStateMutant
        584  238 00021D32 KeReadStateMutex
        585  239 00021D32 KeReadStateQueue
        586  23A 00021D32 KeReadStateSemaphore
        587  23B 00021B0E KeReadStateTimer
        588  23C 00020CBE KeRegisterBugCheckCallback
        589  23D 00020E48 KeRegisterBugCheckReasonCallback
         45  23E 00064F14 KeReleaseInStackQueuedSpinLockFromDpcLevel
        590  23F 00020188 KeReleaseInterruptSpinLock
        591  240 00023D2C KeReleaseMutant
        592  241 00023DF6 KeReleaseMutex
        593  242 00024352 KeReleaseSemaphore
        594  243 00064EA4 KeReleaseSpinLockFromDpcLevel
        595  244 00023B68 KeRemoveByKeyDeviceQueue
        596  245 00023BD4 KeRemoveByKeyDeviceQueueIfBusy
        597  246 00023B1E KeRemoveDeviceQueue
        598  247 00023C44 KeRemoveEntryDeviceQueue
        599  248 00023EF8 KeRemoveQueue
        600  249 00022E94 KeRemoveQueueDpc
        601  24A 000BE85E KeRemoveSystemServiceTable
        602  24B 00021D46 KeResetEvent
        603  24C 00025DCC KeRestoreFloatingPointState
        604  24D 0002469E KeRevertToUserAffinityThread
        605  24E 00023E14 KeRundownQueue
        606  24F 00025BC6 KeSaveFloatingPointState
        607  250 00025BAA KeSaveStateForHibernate
        608  251 0007B380 KeServiceDescriptorTable
        609  252 0002477C KeSetAffinityThread
        610  253 00024812 KeSetBasePriorityThread
        611  254 0001FCB4 KeSetDmaIoCoherency
        612  255 00021DFA KeSetEvent
        613  256 00021E7C KeSetEventBoostPriority
        614  257 00024928 KeSetIdealProcessorThread
        615  258 00022D6A KeSetImportanceDpc
        616  259 000249AC KeSetKernelStackSwapEnable
        617  25A 000249CE KeSetPriorityThread
        618  25B 001B6CE0 KeSetProfileIrql
        619  25C 000247AC KeSetSystemAffinityThread
        620  25D 00022D82 KeSetTargetProcessorDpc
        621  25E 0001FCFC KeSetTimeIncrement
         46  25F 000BE8C6 KeSetTimeUpdateNotifyRoutine
        622  260 00021D10 KeSetTimer
        623  261 00021C36 KeSetTimerEx
        624  262 00020802 KeStackAttachProcess
        625  263 00069700 KeSynchronizeExecution
        626  264 00024CD0 KeTerminateThread
        627  265 000731A0 KeTickCount
        628  266 00020496 KeUnstackDetachProcess
        629  267 00069494 KeUpdateRunTime
        630  268 00069328 KeUpdateSystemTime
        631  269 000BEDE4 KeUserModeCallback
        632  26A 000226AC KeWaitForMultipleObjects
        633  26B 000229EE KeWaitForMutexObject
        634  26C 000229EE KeWaitForSingleObject
         47  26D 00064E90 KefAcquireSpinLockAtDpcLevel
         48  26E 00064EA0 KefReleaseSpinLockFromDpcLevel
         58  26F 00066298 Kei386EoiHelper
         49  270 00064EB0 KiAcquireSpinLock
        635  271 0007BD20 KiBugCheckData
        636  272 000690FC KiCoprocessorError
        637  273 000260D8 KiDeliverApc
        638  274 00069C20 KiDispatchInterrupt
        639  275 000748F8 KiEnableTimerWatchdog
        640  276 00026424 KiIpiServiceRoutine
         50  277 00064EC0 KiReleaseSpinLock
        641  278 00069B12 KiUnexpectedInterrupt
         59  279 000692B0 Kii386SpinOnSpinLock
        642  27A 000F65A4 LdrAccessResource
        643  27B 000F6944 LdrEnumResources
        644  27C 000F6BB0 LdrFindResourceDirectory_U
        645  27D 000F6B8E LdrFindResource_U
        646  27E 0007BD68 LpcPortObjectType
        647  27F 000C062A LpcRequestPort
        648  280 000C0D8E LpcRequestWaitReplyPort
        649  281 00136B1C LsaCallAuthenticationPackage
        650  282 00136BBA LsaDeregisterLogonProcess
        651  283 001367C5 LsaFreeReturnBuffer
        652  284 00136A27 LsaLogonUser
        653  285 0013697F LsaLookupAuthenticationPackage
        654  286 001367EC LsaRegisterLogonProcess
        655  287 00080824 Mm64BitPhysicalAddress
        656  288 001695CA MmAddPhysicalMemory
        657  289 000C3D6E MmAddVerifierThunks
        658  28A 00169F08 MmAdjustWorkingSetSize
        659  28B 0002CC62 MmAdvanceMdl
        660  28C 0002E6F0 MmAllocateContiguousMemory
        661  28D 0002E66A MmAllocateContiguousMemorySpecifyCache
        662  28E 000C4D34 MmAllocateMappingAddress
        663  28F 000C5680 MmAllocateNonCachedMemory
        664  290 0016A4F0 MmAllocatePagesForMdl
        665  291 0002C3F8 MmBuildMdlForNonPagedPool
        666  292 00031044 MmCanFileBeTruncated
        667  293 00031B80 MmCommitSessionMappedView
        668  294 0002D9A0 MmCreateMdl
        669  295 00032258 MmCreateSection
        670  296 00032F0E MmDisableModifiedWriteOfSection
        671  297 000342A8 MmFlushImageSection
        672  298 00031B30 MmForceSectionClosed
        673  299 0002D6E4 MmFreeContiguousMemory
        674  29A 0002D83A MmFreeContiguousMemorySpecifyCache
        675  29B 000C4E08 MmFreeMappingAddress
        676  29C 000C580A MmFreeNonCachedMemory
        677  29D 0016AC1E MmFreePagesFromMdl
        678  29E 0002D850 MmGetPhysicalAddress
        679  29F 00168686 MmGetPhysicalMemoryRanges
        680  2A0 000CB3DC MmGetSystemRoutineAddress
        681  2A1 0002D8FE MmGetVirtualForPhysical
        682  2A2 0003682E MmGrowKernelStack
        683  2A3 00080DBC MmHighestUserAddress
        684  2A4 00038E48 MmIsAddressValid
        685  2A5 0002AA32 MmIsDriverVerifying
        686  2A6 0003C264 MmIsNonPagedSystemAddressValid
        687  2A7 0002E458 MmIsRecursiveIoFault
        688  2A8 0003C6DC MmIsThisAnNtAsSystem
        689  2A9 000C3F4E MmIsVerifierEnabled
        690  2AA 000C5572 MmLockPagableDataSection
        691  2AB 000C5572 MmLockPagableImageSection
        692  2AC 000C5382 MmLockPagableSectionByHandle
        693  2AD 0002D386 MmMapIoSpace
        694  2AE 0002EF42 MmMapLockedPages
        695  2AF 0002EB7C MmMapLockedPagesSpecifyCache
        696  2B0 0002C784 MmMapLockedPagesWithReservedMapping
        697  2B1 0002E478 MmMapMemoryDumpMdl
        698  2B2 0016AD50 MmMapUserAddressesToPage
        699  2B3 000C5316 MmMapVideoDisplay
        700  2B4 000CF170 MmMapViewInSessionSpace
        701  2B5 000CF14E MmMapViewInSystemSpace
        702  2B6 000CEFC2 MmMapViewOfSection
        703  2B7 000C3C36 MmMarkPhysicalMemoryAsBad
        704  2B8 0016850C MmMarkPhysicalMemoryAsGood
        705  2B9 000C9A52 MmPageEntireDriver
        706  2BA 000CFB7E MmPrefetchPages
        707  2BB 0002F386 MmProbeAndLockPages
        708  2BC 000C5860 MmProbeAndLockProcessPages
        709  2BD 0002FA24 MmProbeAndLockSelectedPages
        710  2BE 0002CEA6 MmProtectMdlSystemAddress
        711  2BF 0003C6D0 MmQuerySystemSize
        712  2C0 000C3C54 MmRemovePhysicalMemory
        713  2C1 000C9AE0 MmResetDriverPaging
        714  2C2 00080B20 MmSectionObjectType
        715  2C3 000CEF8C MmSecureVirtualMemory
        716  2C4 0002DA0C MmSetAddressRangeModified
        717  2C5 000C50A4 MmSetBankedSection
        718  2C6 0002D976 MmSizeOfMdl
        719  2C7 00080DB8 MmSystemRangeStart
        720  2C8 0003E8F8 MmTrimAllSystemPagableMemory
        721  2C9 0002E2FE MmUnlockPagableImageSection
        722  2CA 0002EFEA MmUnlockPages
        723  2CB 0002D690 MmUnmapIoSpace
        724  2CC 0002EF64 MmUnmapLockedPages
        725  2CD 0002CAE6 MmUnmapReservedMapping
        726  2CE 000C5336 MmUnmapVideoDisplay
        727  2CF 000CF1CC MmUnmapViewInSessionSpace
        728  2D0 000CF1B0 MmUnmapViewInSystemSpace
        729  2D1 000D0000 MmUnmapViewOfSection
        730  2D2 000CEFAA MmUnsecureVirtualMemory
        731  2D3 00080DB4 MmUserProbeAddress
        732  2D4 00196F70 NlsAnsiCodePage
        733  2D5 00199178 NlsLeadByteInfo
        734  2D6 00196F88 NlsMbCodePageTag
        735  2D7 001971A0 NlsMbOemCodePageTag
        736  2D8 00196F74 NlsOemCodePage
        737  2D9 0019917C NlsOemLeadByteInfo
        738  2DA 00133880 NtAddAtom
        739  2DB 00109904 NtAdjustPrivilegesToken
        740  2DC 00133EA6 NtAllocateLocallyUniqueId
        741  2DD 001334BE NtAllocateUuids
        742  2DE 000C5BBC NtAllocateVirtualMemory
        743  2DF 0006DCE8 NtBuildNumber
        744  2E0 000D99C0 NtClose
        745  2E1 000C16E6 NtConnectPort
        746  2E2 0012CBE0 NtCreateEvent
        747  2E3 000963CA NtCreateFile
        748  2E4 000C84EA NtCreateSection
        749  2E5 00133D36 NtDeleteAtom
        750  2E6 00093FAA NtDeleteFile
        751  2E7 00096590 NtDeviceIoControlFile
        752  2E8 000DB49C NtDuplicateObject
        753  2E9 0010AB4A NtDuplicateToken
        754  2EA 00133AEA NtFindAtom
        755  2EB 000D0186 NtFreeVirtualMemory
        756  2EC 000965C4 NtFsControlFile
        757  2ED 0007966C NtGlobalFlag
        758  2EE 000965F8 NtLockFile
        759  2EF 000DCD3C NtMakePermanentObject
        760  2F0 000CF206 NtMapViewOfSection
        761  2F1 00097228 NtNotifyChangeDirectoryFile
        762  2F2 000974E8 NtOpenFile
        763  2F3 000E8E1E NtOpenProcess
        764  2F4 0010B542 NtOpenProcessToken
        765  2F5 0010B148 NtOpenProcessTokenEx
        766  2F6 000E90AA NtOpenThread
        767  2F7 0010B560 NtOpenThreadToken
        768  2F8 0010B2B8 NtOpenThreadTokenEx
        769  2F9 000971C2 NtQueryDirectoryFile
        770  2FA 00097518 NtQueryEaFile
        771  2FB 00133D5E NtQueryInformationAtom
        772  2FC 00097D94 NtQueryInformationFile
        773  2FD 000EA784 NtQueryInformationProcess
        774  2FE 000E9350 NtQueryInformationThread
        775  2FF 0010B640 NtQueryInformationToken
        776  300 00098BDE NtQueryQuotaInformationFile
        777  301 000DD708 NtQuerySecurityObject
        778  302 0012F5E4 NtQuerySystemInformation
        779  303 000990CE NtQueryVolumeInformationFile
        780  304 00099896 NtReadFile
        781  305 000BFB60 NtRequestPort
        782  306 000BFE8C NtRequestWaitReplyPort
        783  307 00097A34 NtSetEaFile
        784  308 0012D032 NtSetEvent
        785  309 00098398 NtSetInformationFile
        786  30A 000EB8DC NtSetInformationProcess
        787  30B 000E989C NtSetInformationThread
        788  30C 00098BBC NtSetQuotaInformationFile
        789  30D 000DD63C NtSetSecurityObject
        790  30E 000994F2 NtSetVolumeInformationFile
        791  30F 00130B14 NtShutdownSystem
        792  310 00059C0C NtTraceEvent
        793  311 000969A4 NtUnlockFile
        794  312 00119060 NtVdmControl
        795  313 000DDC8A NtWaitForSingleObject
        796  314 0009A334 NtWriteFile
        797  315 000DD55C ObAssignSecurity
        798  316 000DDA5C ObCheckCreateObjectAccess
        799  317 000DD80E ObCheckObjectAccess
        800  318 000D99A4 ObCloseHandle
        801  319 000DE95C ObCreateObject
        802  31A 000DEB96 ObCreateObjectType
        803  31B 0004B034 ObDereferenceObject
        804  31C 000DFE20 ObDereferenceSecurityDescriptor
        805  31D 000E017E ObFindHandleForObject
        806  31E 000DD3C0 ObGetObjectSecurity
        807  31F 000E06D4 ObInsertObject
        808  320 000DFACA ObLogSecurityDescriptor
        809  321 000D99E6 ObMakeTemporaryObject
        810  322 000D8D00 ObOpenObjectByName
        811  323 000D90D0 ObOpenObjectByPointer
        812  324 000E1398 ObQueryNameString
        813  325 000E1024 ObQueryObjectAuditingByHandle
        814  326 000D883C ObReferenceObjectByHandle
        815  327 000D91B2 ObReferenceObjectByName
        816  328 0004AD18 ObReferenceObjectByPointer
        817  329 000DFCCE ObReferenceSecurityDescriptor
        818  32A 000DD4D8 ObReleaseObjectSecurity
        819  32B 000E1118 ObSetHandleAttributes
        820  32C 000DDB50 ObSetSecurityDescriptorInfo
        821  32D 000DD38C ObSetSecurityObjectByPointer
         51  32E 0004AFBE ObfDereferenceObject
         52  32F 0004ADAC ObfReferenceObject
        822  330 000F9B70 PfxFindPrefix
        823  331 000F9464 PfxInitialize
        824  332 000F9A8C PfxInsertPrefix
        825  333 000F9482 PfxRemovePrefix
        826  334 0004B786 PoCallDriver
        827  335 0004BA9C PoCancelDeviceNotify
        828  336 000E3A7E PoQueueShutdownWorkItem
        829  337 0004C374 PoRegisterDeviceForIdleDetection
        830  338 0004C0A6 PoRegisterDeviceNotify
        831  339 0004C5F2 PoRegisterSystemState
        832  33A 0004B962 PoRequestPowerIrp
        833  33B 000E3A48 PoRequestShutdownEvent
        834  33C 0016EF00 PoSetHiberRange
        835  33D 0004C90C PoSetPowerState
        836  33E 0004C5C0 PoSetSystemState
        837  33F 000E4BD4 PoShutdownBugCheck
        838  340 0004B494 PoStartNextPowerIrp
        839  341 0004C662 PoUnregisterSystemState
        840  342 00133F86 ProbeForRead
        841  343 00133F28 ProbeForWrite
        842  344 000ED362 PsAssignImpersonationToken
        843  345 0004F9FA PsChargePoolQuota
        844  346 0004F440 PsChargeProcessNonPagedPoolQuota
        845  347 0004F660 PsChargeProcessPagedPoolQuota
        846  348 0004F1D8 PsChargeProcessPoolQuota
        847  349 000EEF64 PsCreateSystemProcess
        848  34A 000EEE9C PsCreateSystemThread
        849  34B 000EC7C4 PsDereferenceImpersonationToken
        850  34C 000910F2 PsDereferencePrimaryToken
        851  34D 000ECF54 PsDisableImpersonation
        852  34E 000EA184 PsEstablishWin32Callouts
        853  34F 000EF0A0 PsGetContextThread
        854  350 000174D2 PsGetCurrentProcess
        855  351 0004FA20 PsGetCurrentProcessId
        856  352 0004FCE4 PsGetCurrentProcessSessionId
        857  353 0004FCF8 PsGetCurrentThread
        858  354 0004FA32 PsGetCurrentThreadId
        859  355 0004FD26 PsGetCurrentThreadPreviousMode
        860  356 0004FD04 PsGetCurrentThreadStackBase
        861  357 0004FD16 PsGetCurrentThreadStackLimit
        862  358 0004FAB0 PsGetJobLock
        863  359 0004FAC4 PsGetJobSessionId
        864  35A 0004FADC PsGetJobUIRestrictionsClass
        865  35B 0004FAF4 PsGetProcessCreateTimeQuadPart
        866  35C 0004FB0C PsGetProcessDebugPort
        867  35D 000EF538 PsGetProcessExitProcessCalled
        868  35E 0004FB24 PsGetProcessExitStatus
        869  35F 000EFD04 PsGetProcessExitTime
        870  360 0004FB3C PsGetProcessId
        871  361 0004FB54 PsGetProcessImageFileName
        872  362 0004FB6A PsGetProcessInheritedFromUniqueProcessId
        873  363 0004FB82 PsGetProcessJob
        874  364 0004FBC2 PsGetProcessPeb
        875  365 0004FBDA PsGetProcessPriorityClass
        876  366 0004FBAA PsGetProcessSectionBaseAddress
        877  367 000EF5BE PsGetProcessSecurityPort
        878  368 0004FB9A PsGetProcessSessionId
        879  369 0004FC84 PsGetProcessWin32Process
        880  36A 0004FBF2 PsGetProcessWin32WindowStation
        881  36B 0004FC22 PsGetThreadFreezeCount
        882  36C 0004FC3A PsGetThreadHardErrorsAreDisabled
        883  36D 0004FC0A PsGetThreadId
        884  36E 000182CC PsGetThreadProcess
        885  36F 0004FC58 PsGetThreadProcessId
        886  370 000EF554 PsGetThreadSessionId
        887  371 0004FC70 PsGetThreadTeb
        888  372 0004FC84 PsGetThreadWin32Thread
        889  373 0004FA44 PsGetVersion
        890  374 000ECC56 PsImpersonateClient
        891  375 00082554 PsInitialSystemProcess
        892  376 000EF51C PsIsProcessBeingDebugged
        893  377 0004FC9C PsIsSystemThread
        894  378 000EF5F2 PsIsThreadImpersonating
        895  379 0004FDB4 PsIsThreadTerminating
        896  37A 000824E0 PsJobType
        897  37B 000F0ECC PsLookupProcessByProcessId
        898  37C 000F0E10 PsLookupProcessThreadByCid
        899  37D 000F0F58 PsLookupThreadByThreadId
        900  37E 00082558 PsProcessType
        901  37F 000EC924 PsReferenceImpersonationToken
        902  380 000EC864 PsReferencePrimaryToken
        903  381 000EDAB0 PsRemoveCreateThreadNotifyRoutine
        904  382 000EDD66 PsRemoveLoadImageNotifyRoutine
        905  383 000ED04C PsRestoreImpersonation
        906  384 0004F308 PsReturnPoolQuota
        907  385 0004F552 PsReturnProcessNonPagedPoolQuota
        908  386 0004F76E PsReturnProcessPagedPoolQuota
        909  387 000ED128 PsRevertThreadToSelf
        910  388 000ED080 PsRevertToSelf
        911  389 000EF30C PsSetContextThread
        912  38A 000ED978 PsSetCreateProcessNotifyRoutine
        913  38B 000EDA4A PsSetCreateThreadNotifyRoutine
        914  38C 000EF570 PsSetJobUIRestrictionsClass
        915  38D 000EF76A PsSetLegoNotifyRoutine
        916  38E 000EDCFA PsSetLoadImageNotifyRoutine
        917  38F 000EA224 PsSetProcessPriorityByClass
        918  390 000EF58A PsSetProcessPriorityClass
        919  391 000EF5D6 PsSetProcessSecurityPort
        920  392 000EF66A PsSetProcessWin32Process
        921  393 000EF5A4 PsSetProcessWindowStation
        922  394 0004FCB8 PsSetThreadHardErrorsAreDisabled
        923  395 000EF734 PsSetThreadWin32Thread
        924  396 000F09F8 PsTerminateSystemThread
        925  397 0008255C PsThreadType
        926  398 000502DC READ_REGISTER_BUFFER_UCHAR
        927  399 00050314 READ_REGISTER_BUFFER_ULONG
        928  39A 000502F8 READ_REGISTER_BUFFER_USHORT
        929  39B 000502B8 READ_REGISTER_UCHAR
        930  39C 000502D0 READ_REGISTER_ULONG
        931  39D 000502C4 READ_REGISTER_USHORT
        932  39E 000FA21A RtlAbsoluteToSelfRelativeSD
        933  39F 000FA8D0 RtlAddAccessAllowedAce
        934  3A0 000FA8F4 RtlAddAccessAllowedAceEx
        935  3A1 000FA692 RtlAddAce
        936  3A2 000FAE8E RtlAddAtomToAtomTable
        937  3A3 000FC110 RtlAddRange
        938  3A4 000FEAA8 RtlAllocateHeap
        939  3A5 000FF5B2 RtlAnsiCharToUnicodeChar
        940  3A6 000FF8D2 RtlAnsiStringToUnicodeSize
        941  3A7 0010008E RtlAnsiStringToUnicodeString
        942  3A8 00100ABA RtlAppendAsciizToString
        943  3A9 00100B16 RtlAppendStringToString
        944  3AA 000504AE RtlAppendUnicodeStringToString
        945  3AB 00050436 RtlAppendUnicodeToString
        946  3AC 001014BC RtlAreAllAccessesGranted
        947  3AD 001014D8 RtlAreAnyAccessesGranted
        948  3AE 00051148 RtlAreBitsClear
        949  3AF 000511CC RtlAreBitsSet
        950  3B0 00051804 RtlAssert
        951  3B1 0006AD84 RtlCaptureContext
        952  3B2 00051958 RtlCaptureStackBackTrace
        953  3B3 00103E58 RtlCharToInteger
        954  3B4 001055E6 RtlCheckRegistryKey
        955  3B5 000507AA RtlClearAllBits
        956  3B6 00050734 RtlClearBit
        957  3B7 00050D18 RtlClearBits
        958  3B8 0006A290 RtlCompareMemory
        959  3B9 0006A2E0 RtlCompareMemoryUlong
        960  3BA 0010091E RtlCompareString
        961  3BB 000FF8FA RtlCompareUnicodeString
        962  3BC 00172144 RtlCompressBuffer
        963  3BD 00105CDC RtlCompressChunks
        964  3BE 0006A9CC RtlConvertLongToLargeInteger
        965  3BF 00100DEA RtlConvertSidToUnicodeString
        966  3C0 0006A9D4 RtlConvertUlongToLargeInteger
        967  3C1 00100FE6 RtlCopyLuid
        968  3C2 000FB940 RtlCopyRangeList
        969  3C3 00100CC8 RtlCopySid
        970  3C4 00050584 RtlCopyString
        971  3C5 000503D0 RtlCopyUnicodeString
        972  3C6 000FA244 RtlCreateAcl
        973  3C7 000FAB18 RtlCreateAtomTable
        974  3C8 000FD778 RtlCreateHeap
        975  3C9 00105614 RtlCreateRegistryKey
        976  3CA 00101034 RtlCreateSecurityDescriptor
        977  3CB 001061D6 RtlCreateSystemVolumeInformationFolder
        978  3CC 000FFC78 RtlCreateUnicodeString
        979  3CD 000F862C RtlCustomCPToUnicodeN
        980  3CE 001059EA RtlDecompressBuffer
        981  3CF 00105B18 RtlDecompressChunks
        982  3D0 00105A36 RtlDecompressFragment
        983  3D1 00051E16 RtlDelete
        984  3D2 000FA774 RtlDeleteAce
        985  3D3 000FB112 RtlDeleteAtomFromAtomTable
        986  3D4 00052180 RtlDeleteElementGenericTable
        987  3D5 000527A6 RtlDeleteElementGenericTableAvl
        988  3D6 00051E94 RtlDeleteNoSplay
        989  3D7 000FC2C4 RtlDeleteOwnersRanges
        990  3D8 000FC192 RtlDeleteRange
        991  3D9 00105648 RtlDeleteRegistryValue
        992  3DA 00105A88 RtlDescribeChunk
        993  3DB 000FABAA RtlDestroyAtomTable
        994  3DC 000FCF98 RtlDestroyHeap
        995  3DD 000FF6D6 RtlDowncaseUnicodeString
        996  3DE 000FAC5A RtlEmptyAtomTable
        997  3DF 0006A7AC RtlEnlargedIntegerMultiply
        998  3E0 0006A7C4 RtlEnlargedUnsignedDivide
        999  3E1 0006A7B8 RtlEnlargedUnsignedMultiply
       1000  3E2 0005221A RtlEnumerateGenericTable
       1001  3E3 00052830 RtlEnumerateGenericTableAvl
       1002  3E4 00052856 RtlEnumerateGenericTableLikeADirectory
       1003  3E5 000520BA RtlEnumerateGenericTableWithoutSplaying
       1004  3E6 000526CC RtlEnumerateGenericTableWithoutSplayingAvl
       1005  3E7 00100FBC RtlEqualLuid
       1006  3E8 0010196A RtlEqualSid
       1007  3E9 000505CE RtlEqualString
       1008  3EA 000FFA46 RtlEqualUnicodeString
       1009  3EB 0006A8D0 RtlExtendedIntegerMultiply
       1010  3EC 0006A7E4 RtlExtendedLargeIntegerDivide
       1011  3ED 0006A840 RtlExtendedMagicDivide
       1012  3EE 0006A310 RtlFillMemory
       1013  3EF 0006A380 RtlFillMemoryUlong
       1014  3F0 00050804 RtlFindClearBits
       1015  3F1 00051578 RtlFindClearBitsAndSet
       1016  3F2 00050E20 RtlFindClearRuns
       1017  3F3 000515E0 RtlFindFirstRunClear
       1018  3F4 00051352 RtlFindLastBackwardRunClear
       1019  3F5 000514CE RtlFindLeastSignificantBit
       1020  3F6 00051068 RtlFindLongestRunClear
       1021  3F7 00106396 RtlFindMessage
       1022  3F8 00051422 RtlFindMostSignificantBit
       1023  3F9 00051258 RtlFindNextForwardRunClear
       1024  3FA 000FBA94 RtlFindRange
       1025  3FB 00050A66 RtlFindSetBits
       1026  3FC 000515AC RtlFindSetBitsAndClear
       1027  3FD 000F9D50 RtlFindUnicodePrefix
       1028  3FE 00104934 RtlFormatCurrentUserKeyPath
       1029  3FF 000FF866 RtlFreeAnsiString
       1030  400 000FF37C RtlFreeHeap
       1031  401 000FF88C RtlFreeOemString
       1032  402 000FB6F2 RtlFreeRangeList
       1033  403 000FF866 RtlFreeUnicodeString
       1034  404 001065D8 RtlGUIDFromString
       1035  405 00106A3A RtlGenerate8dot3Name
       1036  406 000FA4BA RtlGetAce
       1037  407 00052948 RtlGetCallersAddress
       1038  408 001720F8 RtlGetCompressionWorkSpaceSize
       1039  409 00101260 RtlGetDaclSecurityDescriptor
       1040  40A 000F943C RtlGetDefaultCodePage
       1041  40B 0005201C RtlGetElementGenericTable
       1042  40C 000525E2 RtlGetElementGenericTableAvl
       1043  40D 000FB738 RtlGetFirstRange
       1044  40E 0010147A RtlGetGroupSecurityDescriptor
       1045  40F 000FB7F2 RtlGetNextRange
       1046  410 00104908 RtlGetNtGlobalFlags
       1047  411 001013E0 RtlGetOwnerSecurityDescriptor
       1048  412 0010132A RtlGetSaclSecurityDescriptor
       1049  413 00106F8A RtlGetSetBootStatusData
       1050  414 00107082 RtlGetVersion
       1051  415 000FFCCE RtlHashUnicodeString
       1052  416 00053082 RtlImageDirectoryEntryToData
       1053  417 00052EF0 RtlImageNtHeader
       1054  418 0005311C RtlInitAnsiString
       1055  419 000F9230 RtlInitCodePageTable
       1056  41A 000530E4 RtlInitString
       1057  41B 00053154 RtlInitUnicodeString
       1058  41C 00103D28 RtlInitializeBitMap
       1059  41D 00051F14 RtlInitializeGenericTable
       1060  41E 000524B4 RtlInitializeGenericTableAvl
       1061  41F 000FB4EE RtlInitializeRangeList
       1062  420 00100C4C RtlInitializeSid
       1063  421 000F96CA RtlInitializeUnicodePrefix
       1064  422 0005214E RtlInsertElementGenericTable
       1065  423 00052772 RtlInsertElementGenericTableAvl
       1066  424 00051F52 RtlInsertElementGenericTableFull
       1067  425 000524EA RtlInsertElementGenericTableFullAvl
       1068  426 000F9C10 RtlInsertUnicodePrefix
       1069  427 0010462C RtlInt64ToUnicodeString
       1070  428 00103D44 RtlIntegerToChar
       1071  429 00104106 RtlIntegerToUnicode
       1072  42A 0010422C RtlIntegerToUnicodeString
       1073  42B 000FC36C RtlInvertRangeList
       1074  42C 000534AA RtlIpv4AddressToStringA
       1075  42D 000534EA RtlIpv4AddressToStringExA
       1076  42E 0005393C RtlIpv4AddressToStringExW
       1077  42F 000538F4 RtlIpv4AddressToStringW
       1078  430 00053F2E RtlIpv4StringToAddressA
       1079  431 0005413C RtlIpv4StringToAddressExA
       1080  432 00054A46 RtlIpv4StringToAddressExW
       1081  433 00054838 RtlIpv4StringToAddressW
       1082  434 000531E6 RtlIpv6AddressToStringA
       1083  435 000533CE RtlIpv6AddressToStringExA
       1084  436 00053806 RtlIpv6AddressToStringExW
       1085  437 00053612 RtlIpv6AddressToStringW
       1086  438 000539D0 RtlIpv6StringToAddressA
       1087  439 00053CF0 RtlIpv6StringToAddressExA
       1088  43A 000545D4 RtlIpv6StringToAddressExW
       1089  43B 000542D6 RtlIpv6StringToAddressW
       1090  43C 00052004 RtlIsGenericTableEmpty
       1091  43D 000525C8 RtlIsGenericTableEmptyAvl
       1092  43E 001068B8 RtlIsNameLegalDOS8Dot3
       1093  43F 000FBE10 RtlIsRangeAvailable
       1094  440 0010665E RtlIsValidOemCharacter
       1095  441 0006A798 RtlLargeIntegerAdd
       1096  442 0006A978 RtlLargeIntegerArithmeticShift
       1097  443 00054BC4 RtlLargeIntegerDivide
       1098  444 0006A9A4 RtlLargeIntegerNegate
       1099  445 0006A928 RtlLargeIntegerShiftLeft
       1100  446 0006A950 RtlLargeIntegerShiftRight
       1101  447 0006A9B8 RtlLargeIntegerSubtract
       1102  448 00100C34 RtlLengthRequiredSid
       1103  449 00101144 RtlLengthSecurityDescriptor
       1104  44A 00100CAC RtlLengthSid
       1105  44B 00106E66 RtlLockBootStatusData
       1106  44C 000FB02A RtlLookupAtomInAtomTable
       1107  44D 0005226A RtlLookupElementGenericTable
       1108  44E 00052926 RtlLookupElementGenericTableAvl
       1109  44F 000521D8 RtlLookupElementGenericTableFull
       1110  450 000527FE RtlLookupElementGenericTableFullAvl
       1111  451 001014F0 RtlMapGenericMask
       1112  452 00050648 RtlMapSecurityErrorToNtStatus
       1113  453 000FC030 RtlMergeRangeLists
       1114  454 0006A3D0 RtlMoveMemory
       1115  455 000F6BD2 RtlMultiByteToUnicodeN
       1116  456 000F70AE RtlMultiByteToUnicodeSize
       1117  457 000F980C RtlNextUnicodePrefix
       1118  458 0010710C RtlNtStatusToDosError
       1119  459 00054C44 RtlNtStatusToDosErrorNoTeb
       1120  45A 000520A6 RtlNumberGenericTableElements
       1121  45B 000526B8 RtlNumberGenericTableElementsAvl
       1122  45C 000510A0 RtlNumberOfClearBits
       1123  45D 000510F0 RtlNumberOfSetBits
       1124  45E 001004E6 RtlOemStringToCountedUnicodeString
       1125  45F 000FF8D2 RtlOemStringToUnicodeSize
       1126  460 001002BA RtlOemStringToUnicodeString
       1127  461 000F6EC0 RtlOemToUnicodeN
       1128  462 000FB1F2 RtlPinAtomInAtomTable
         53  463 0006A744 RtlPrefetchMemoryNonTemporal
       1129  464 001009B2 RtlPrefixString
       1130  465 000FFB5E RtlPrefixUnicodeString
       1131  466 000FB298 RtlQueryAtomInAtomTable
